raw_locator,set_code,collector_number,limitless_card_url,in_top10_raw_union,in_top50_raw_union,minimum_archetype_rank,archetype_count,archetypes,archetype_ranks,archetype_quantities,anki_tags,resolution_status,resolved_name,mechanical_fingerprint,mechanical_card_key,mechanical_group_id
MEG-119,MEG,119,https://limitlesstcg.com/cards/MEG/119,True,True,1,39,Dragapult | Ogerpon Meganium | N's Zoroark | Raging Bolt | Slowking | Mega Lucario | Mega Greninja | Basic Box | Crustle | Beedrill | Festival Lead | Rocket's Mewtwo | Mega Starmie | Mega Lopunny | Cynthia's Garchomp | Hop's Trevenant | Ethan's Typhlosion | Greninja | Marnie's Grimmsnarl | Archaludon | Steven's Metagross | Mega Diancie | Okidogi | Mega Venusaur | Mega Absol Box | Doublade | Toxtricity | Eelektrik | Bloodmoon Ursaluna | Mega Manectric | Mega Sharpedo | Rocket's Spidops | Decidueye | Mega Froslass | Bronzong | Palafin | Sylveon | Froslass Munkidori | Mega Charizard X,1 | 2 | 4 | 5 | 6 | 7 | 8 | 9 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 24 | 25 | 26 | 27 | 29 | 30 | 32 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 44 | 46 | 47 | 48 | 50,Dragapult:4 | Ogerpon Meganium:4 | N's Zoroark:4 | Raging Bolt:1 | Slowking:4 | Mega Lucario:4 | Mega Greninja:4 | Basic Box:1 | Crustle:4 | Beedrill:4 | Festival Lead:4 | Rocket's Mewtwo:4 | Mega Starmie:4 | Mega Lopunny:4 | Cynthia's Garchomp:4 | Hop's Trevenant:4 | Ethan's Typhlosion:2 | Greninja:4 | Marnie's Grimmsnarl:4 | Archaludon:4 | Steven's Metagross:4 | Mega Diancie:4 | Okidogi:4 | Mega Venusaur:4 | Mega Absol Box:2 | Doublade:3 | Toxtricity:4 | Eelektrik:4 | Bloodmoon Ursaluna:4 | Mega Manectric:4 | Mega Sharpedo:4 | Rocket's Spidops:3 | Decidueye:3 | Mega Froslass:3 | Bronzong:4 | Palafin:4 | Sylveon:4 | Froslass Munkidori:4 | Mega Charizard X:4,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::archetype::mega_lucario ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::crustle ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::rocket_s_mewtwo ptcg::archetype::mega_starmie ptcg::archetype::mega_lopunny ptcg::archetype::cynthia_s_garchomp ptcg::archetype::hop_s_trevenant ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::archaludon ptcg::archetype::steven_s_metagross ptcg::archetype::mega_diancie ptcg::archetype::okidogi ptcg::archetype::mega_venusaur ptcg::archetype::mega_absol_box ptcg::archetype::doublade ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_manectric ptcg::archetype::mega_sharpedo ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::archetype::bronzong ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::froslass_munkidori ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-131,MEG,131,https://limitlesstcg.com/cards/MEG/131,True,True,1,40,Dragapult | Ogerpon Meganium | N's Zoroark | Raging Bolt | Slowking | Mega Lucario | Mega Greninja | Basic Box | Rocket's Honchkrow | Crustle | Beedrill | Rocket's Mewtwo | Mega Starmie | Mega Lopunny | Hop's Trevenant | Ethan's Typhlosion | Greninja | Lillie's Clefairy | Metagross | Ceruledge | Archaludon | Steven's Metagross | Mega Diancie | Mega Venusaur | Tera Box | Mega Absol Box | Flareon | Toxtricity | Eelektrik | Mega Manectric | Mega Sharpedo | Rocket's Spidops | Decidueye | Mega Froslass | Mega Abomasnow | Bronzong | Joltik Box | Palafin | Hydreigon | Mega Charizard X,1 | 2 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 14 | 15 | 16 | 18 | 19 | 20 | 21 | 22 | 23 | 25 | 26 | 27 | 30 | 31 | 32 | 33 | 35 | 36 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 49 | 50,Dragapult:4 | Ogerpon Meganium:2 | N's Zoroark:3 | Raging Bolt:4 | Slowking:4 | Mega Lucario:2 | Mega Greninja:3 | Basic Box:4 | Rocket's Honchkrow:1 | Crustle:1 | Beedrill:4 | Rocket's Mewtwo:4 | Mega Starmie:4 | Mega Lopunny:4 | Hop's Trevenant:1 | Ethan's Typhlosion:4 | Greninja:3 | Lillie's Clefairy:4 | Metagross:2 | Ceruledge:4 | Archaludon:4 | Steven's Metagross:3 | Mega Diancie:4 | Mega Venusaur:3 | Tera Box:4 | Mega Absol Box:1 | Flareon:4 | Toxtricity:1 | Eelektrik:2 | Mega Manectric:4 | Mega Sharpedo:4 | Rocket's Spidops:4 | Decidueye:1 | Mega Froslass:2 | Mega Abomasnow:4 | Bronzong:3 | Joltik Box:4 | Palafin:3 | Hydreigon:2 | Mega Charizard X:4,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::archetype::mega_lucario ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::rocket_s_honchkrow ptcg::archetype::crustle ptcg::archetype::beedrill ptcg::archetype::rocket_s_mewtwo ptcg::archetype::mega_starmie ptcg::archetype::mega_lopunny ptcg::archetype::hop_s_trevenant ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::lillie_s_clefairy ptcg::archetype::metagross ptcg::archetype::ceruledge ptcg::archetype::archaludon ptcg::archetype::steven_s_metagross ptcg::archetype::mega_diancie ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::archetype::mega_absol_box ptcg::archetype::flareon ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::mega_manectric ptcg::archetype::mega_sharpedo ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::archetype::mega_abomasnow ptcg::archetype::bronzong ptcg::archetype::joltik_box ptcg::archetype::palafin ptcg::archetype::hydreigon ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
PFL-87,PFL,87,https://limitlesstcg.com/cards/PFL/87,True,True,1,9,Dragapult | Ogerpon Meganium | Alakazam | Beedrill | Festival Lead | Decidueye | Mega Abomasnow | Hydreigon | Mega Charizard X,1 | 2 | 3 | 12 | 13 | 41 | 43 | 49 | 50,Dragapult:1 | Ogerpon Meganium:2 | Alakazam:4 | Beedrill:3 | Festival Lead:1 | Decidueye:3 | Mega Abomasnow:4 | Hydreigon:2 | Mega Charizard X:3,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::alakazam ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::decidueye ptcg::archetype::mega_abomasnow ptcg::archetype::hydreigon ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
POR-62,POR,62,https://limitlesstcg.com/cards/POR/62,True,True,1,19,Dragapult | Ogerpon Meganium | N's Zoroark | Raging Bolt | Slowking | Mega Greninja | Basic Box | Mega Starmie | Greninja | Lillie's Clefairy | Metagross | Archaludon | Steven's Metagross | Mega Diancie | Mega Manectric | Bronzong | Joltik Box | Palafin | Mega Charizard X,1 | 2 | 4 | 5 | 6 | 8 | 9 | 15 | 20 | 21 | 22 | 25 | 26 | 27 | 38 | 44 | 45 | 46 | 50,Dragapult:1 | Ogerpon Meganium:1 | N's Zoroark:1 | Raging Bolt:3 | Slowking:1 | Mega Greninja:1 | Basic Box:3 | Mega Starmie:1 | Greninja:1 | Lillie's Clefairy:4 | Metagross:1 | Archaludon:1 | Steven's Metagross:1 | Mega Diancie:1 | Mega Manectric:1 | Bronzong:1 | Joltik Box:2 | Palafin:1 | Mega Charizard X:1,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::archetype::mega_greninja ptcg::archetype::basic_box ptcg::archetype::mega_starmie ptcg::archetype::greninja ptcg::archetype::lillie_s_clefairy ptcg::archetype::metagross ptcg::archetype::archaludon ptcg::archetype::steven_s_metagross ptcg::archetype::mega_diancie ptcg::archetype::mega_manectric ptcg::archetype::bronzong ptcg::archetype::joltik_box ptcg::archetype::palafin ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
POR-71,POR,71,https://limitlesstcg.com/cards/POR/71,True,True,1,1,Dragapult,1,Dragapult:4,ptcg::archetype::dragapult ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
POR-81,POR,81,https://limitlesstcg.com/cards/POR/81,True,True,1,38,Dragapult | Ogerpon Meganium | Alakazam | N's Zoroark | Slowking | Mega Lucario | Mega Greninja | Rocket's Honchkrow | Beedrill | Festival Lead | Mega Starmie | Mega Lopunny | Cynthia's Garchomp | Hop's Trevenant | Ethan's Typhlosion | Greninja | Ceruledge | Marnie's Grimmsnarl | Archaludon | Mega Diancie | Okidogi | Mega Venusaur | Tera Box | Flareon | Doublade | Toxtricity | Eelektrik | Bloodmoon Ursaluna | Mega Sharpedo | Rocket's Spidops | Decidueye | Mega Froslass | Bronzong | Palafin | Sylveon | Froslass Munkidori | Hydreigon | Mega Charizard X,1 | 2 | 3 | 4 | 6 | 7 | 8 | 10 | 12 | 13 | 15 | 16 | 17 | 18 | 19 | 20 | 23 | 24 | 25 | 27 | 29 | 30 | 31 | 33 | 34 | 35 | 36 | 37 | 39 | 40 | 41 | 42 | 44 | 46 | 47 | 48 | 49 | 50,Dragapult:4 | Ogerpon Meganium:2 | Alakazam:4 | N's Zoroark:1 | Slowking:4 | Mega Lucario:4 | Mega Greninja:4 | Rocket's Honchkrow:4 | Beedrill:4 | Festival Lead:4 | Mega Starmie:4 | Mega Lopunny:4 | Cynthia's Garchomp:3 | Hop's Trevenant:4 | Ethan's Typhlosion:2 | Greninja:3 | Ceruledge:3 | Marnie's Grimmsnarl:4 | Archaludon:4 | Mega Diancie:1 | Okidogi:4 | Mega Venusaur:2 | Tera Box:2 | Flareon:4 | Doublade:4 | Toxtricity:4 | Eelektrik:4 | Bloodmoon Ursaluna:4 | Mega Sharpedo:3 | Rocket's Spidops:1 | Decidueye:4 | Mega Froslass:4 | Bronzong:4 | Palafin:3 | Sylveon:2 | Froslass Munkidori:4 | Hydreigon:3 | Mega Charizard X:3,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::alakazam ptcg::archetype::n_s_zoroark ptcg::archetype::slowking ptcg::archetype::mega_lucario ptcg::archetype::mega_greninja ptcg::archetype::rocket_s_honchkrow ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::mega_starmie ptcg::archetype::mega_lopunny ptcg::archetype::cynthia_s_garchomp ptcg::archetype::hop_s_trevenant ptcg::archetype::ethan_s_typhlosion ptcg::archetype::greninja ptcg::archetype::ceruledge ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::archaludon ptcg::archetype::mega_diancie ptcg::archetype::okidogi ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::archetype::flareon ptcg::archetype::doublade ptcg::archetype::toxtricity ptcg::archetype::eelektrik ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_sharpedo ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::archetype::mega_froslass ptcg::archetype::bronzong ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::froslass_munkidori ptcg::archetype::hydreigon ptcg::archetype::mega_charizard_x ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
PRE-35,PRE,35,https://limitlesstcg.com/cards/PRE/35,True,True,1,3,Dragapult | Greninja | Mega Diancie,1 | 20 | 27,Dragapult:2 | Greninja:2 | Mega Diancie:2,ptcg::archetype::dragapult ptcg::archetype::greninja ptcg::archetype::mega_diancie ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
PRE-36,PRE,36,https://limitlesstcg.com/cards/PRE/36,True,True,1,3,Dragapult | Greninja | Mega Diancie,1 | 20 | 27,Dragapult:2 | Greninja:1 | Mega Diancie:2,ptcg::archetype::dragapult ptcg::archetype::greninja ptcg::archetype::mega_diancie ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
PRE-37,PRE,37,https://limitlesstcg.com/cards/PRE/37,True,True,1,3,Dragapult | Greninja | Mega Diancie,1 | 20 | 27,Dragapult:1 | Greninja:1 | Mega Diancie:2,ptcg::archetype::dragapult ptcg::archetype::greninja ptcg::archetype::mega_diancie ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SCR-133,SCR,133,https://limitlesstcg.com/cards/SCR/133,True,True,1,17,Dragapult | Raging Bolt | Basic Box | Mega Starmie | Lillie's Clefairy | Kangaskhan Bouffalant | Tera Box | Flareon | Eelektrik | Bloodmoon Ursaluna | Mega Manectric | Mega Froslass | Bronzong | Joltik Box | Palafin | Sylveon | Hydreigon,1 | 5 | 9 | 15 | 21 | 28 | 31 | 33 | 36 | 37 | 38 | 42 | 44 | 45 | 46 | 47 | 49,Dragapult:3 | Raging Bolt:4 | Basic Box:4 | Mega Starmie:1 | Lillie's Clefairy:4 | Kangaskhan Bouffalant:1 | Tera Box:4 | Flareon:1 | Eelektrik:3 | Bloodmoon Ursaluna:2 | Mega Manectric:4 | Mega Froslass:2 | Bronzong:2 | Joltik Box:4 | Palafin:1 | Sylveon:3 | Hydreigon:2,ptcg::archetype::dragapult ptcg::archetype::raging_bolt ptcg::archetype::basic_box ptcg::archetype::mega_starmie ptcg::archetype::lillie_s_clefairy ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::tera_box ptcg::archetype::flareon ptcg::archetype::eelektrik ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::mega_manectric ptcg::archetype::mega_froslass ptcg::archetype::bronzong ptcg::archetype::joltik_box ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::hydreigon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-150,TWM,150,https://limitlesstcg.com/cards/TWM/150,True,True,1,5,Dragapult | Alakazam | Crustle | Kangaskhan Bouffalant | Sylveon,1 | 3 | 11 | 28 | 47,Dragapult:1 | Alakazam:1 | Crustle:1 | Kangaskhan Bouffalant:2 | Sylveon:1,ptcg::archetype::dragapult ptcg::archetype::alakazam ptcg::archetype::crustle ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::sylveon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-153,TWM,153,https://limitlesstcg.com/cards/TWM/153,True,True,1,5,Dragapult | Mega Lucario | Greninja | Mega Manectric | Bronzong,1 | 7 | 20 | 38 | 44,Dragapult:1 | Mega Lucario:1 | Greninja:1 | Mega Manectric:2 | Bronzong:1,ptcg::archetype::dragapult ptcg::archetype::mega_lucario ptcg::archetype::greninja ptcg::archetype::mega_manectric ptcg::archetype::bronzong ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-165,TWM,165,https://limitlesstcg.com/cards/TWM/165,True,True,1,7,Dragapult | Ogerpon Meganium | Raging Bolt | Steven's Metagross | Tera Box | Eelektrik | Mega Sharpedo,1 | 2 | 5 | 26 | 31 | 36 | 39,Dragapult:1 | Ogerpon Meganium:1 | Raging Bolt:1 | Steven's Metagross:1 | Tera Box:1 | Eelektrik:1 | Mega Sharpedo:1,ptcg::archetype::dragapult ptcg::archetype::ogerpon_meganium ptcg::archetype::raging_bolt ptcg::archetype::steven_s_metagross ptcg::archetype::tera_box ptcg::archetype::eelektrik ptcg::archetype::mega_sharpedo ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-8,ASC,8,https://limitlesstcg.com/cards/ASC/8,True,True,2,1,Ogerpon Meganium,2,Ogerpon Meganium:1,ptcg::archetype::ogerpon_meganium ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
ASC-9,ASC,9,https://limitlesstcg.com/cards/ASC/9,True,True,2,1,Ogerpon Meganium,2,Ogerpon Meganium:1,ptcg::archetype::ogerpon_meganium ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEE-1,MEE,1,https://limitlesstcg.com/cards/MEE/1,True,True,2,14,Ogerpon Meganium | Raging Bolt | Basic Box | Crustle | Beedrill | Festival Lead | Rocket's Mewtwo | Mega Venusaur | Tera Box | Flareon | Mega Manectric | Rocket's Spidops | Decidueye | Joltik Box,2 | 5 | 9 | 11 | 12 | 13 | 14 | 30 | 31 | 33 | 38 | 40 | 41 | 45,Ogerpon Meganium:14 | Raging Bolt:7 | Basic Box:4 | Crustle:1 | Beedrill:5 | Festival Lead:5 | Rocket's Mewtwo:6 | Mega Venusaur:12 | Tera Box:5 | Flareon:1 | Mega Manectric:4 | Rocket's Spidops:6 | Decidueye:3 | Joltik Box:4,ptcg::archetype::ogerpon_meganium ptcg::archetype::raging_bolt ptcg::archetype::basic_box ptcg::archetype::crustle ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::rocket_s_mewtwo ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::archetype::flareon ptcg::archetype::mega_manectric ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::archetype::joltik_box ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-10,MEG,10,https://limitlesstcg.com/cards/MEG/10,True,True,2,2,Ogerpon Meganium | Mega Venusaur,2 | 30,Ogerpon Meganium:2 | Mega Venusaur:2,ptcg::archetype::ogerpon_meganium ptcg::archetype::mega_venusaur ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-117,MEG,117,https://limitlesstcg.com/cards/MEG/117,True,True,2,4,Ogerpon Meganium | Beedrill | Mega Venusaur | Decidueye,2 | 12 | 30 | 41,Ogerpon Meganium:3 | Beedrill:4 | Mega Venusaur:3 | Decidueye:4,ptcg::archetype::ogerpon_meganium ptcg::archetype::beedrill ptcg::archetype::mega_venusaur ptcg::archetype::decidueye ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-12,MEG,12,https://limitlesstcg.com/cards/MEG/12,True,True,2,2,Ogerpon Meganium | Mega Venusaur,2 | 30,Ogerpon Meganium:1 | Mega Venusaur:1,ptcg::archetype::ogerpon_meganium ptcg::archetype::mega_venusaur ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-8,MEG,8,https://limitlesstcg.com/cards/MEG/8,True,True,2,2,Ogerpon Meganium | Mega Venusaur,2 | 30,Ogerpon Meganium:1 | Mega Venusaur:2,ptcg::archetype::ogerpon_meganium ptcg::archetype::mega_venusaur ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
MEG-9,MEG,9,https://limitlesstcg.com/cards/MEG/9,True,True,2,2,Ogerpon Meganium | Mega Venusaur,2 | 30,Ogerpon Meganium:1 | Mega Venusaur:2,ptcg::archetype::ogerpon_meganium ptcg::archetype::mega_venusaur ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SCR-114,SCR,114,https://limitlesstcg.com/cards/SCR/114,True,True,2,4,Ogerpon Meganium | Tera Box | Flareon | Hydreigon,2 | 31 | 33 | 49,Ogerpon Meganium:1 | Tera Box:2 | Flareon:4 | Hydreigon:3,ptcg::archetype::ogerpon_meganium ptcg::archetype::tera_box ptcg::archetype::flareon ptcg::archetype::hydreigon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SCR-115,SCR,115,https://limitlesstcg.com/cards/SCR/115,True,True,2,4,Ogerpon Meganium | Tera Box | Flareon | Hydreigon,2 | 31 | 33 | 49,Ogerpon Meganium:1 | Tera Box:3 | Flareon:4 | Hydreigon:3,ptcg::archetype::ogerpon_meganium ptcg::archetype::tera_box ptcg::archetype::flareon ptcg::archetype::hydreigon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SCR-132,SCR,132,https://limitlesstcg.com/cards/SCR/132,True,True,2,2,Ogerpon Meganium | Flareon,2 | 33,Ogerpon Meganium:1 | Flareon:1,ptcg::archetype::ogerpon_meganium ptcg::archetype::flareon ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SCR-14,SCR,14,https://limitlesstcg.com/cards/SCR/14,True,True,2,1,Ogerpon Meganium,2,Ogerpon Meganium:2,ptcg::archetype::ogerpon_meganium ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
SFA-6,SFA,6,https://limitlesstcg.com/cards/SFA/6,True,True,2,1,Ogerpon Meganium,2,Ogerpon Meganium:1,ptcg::archetype::ogerpon_meganium ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-143,TWM,143,https://limitlesstcg.com/cards/TWM/143,True,True,2,7,Ogerpon Meganium | Beedrill | Festival Lead | Rocket's Mewtwo | Mega Venusaur | Rocket's Spidops | Decidueye,2 | 12 | 13 | 14 | 30 | 40 | 41,Ogerpon Meganium:4 | Beedrill:3 | Festival Lead:4 | Rocket's Mewtwo:2 | Mega Venusaur:3 | Rocket's Spidops:2 | Decidueye:3,ptcg::archetype::ogerpon_meganium ptcg::archetype::beedrill ptcg::archetype::festival_lead ptcg::archetype::rocket_s_mewtwo ptcg::archetype::mega_venusaur ptcg::archetype::rocket_s_spidops ptcg::archetype::decidueye ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-155,TWM,155,https://limitlesstcg.com/cards/TWM/155,True,True,2,7,Ogerpon Meganium | Alakazam | Festival Lead | Ethan's Typhlosion | Mega Venusaur | Mega Manectric | Mega Froslass,2 | 3 | 13 | 19 | 30 | 38 | 42,Ogerpon Meganium:1 | Alakazam:1 | Festival Lead:1 | Ethan's Typhlosion:2 | Mega Venusaur:1 | Mega Manectric:1 | Mega Froslass:1,ptcg::archetype::ogerpon_meganium ptcg::archetype::alakazam ptcg::archetype::festival_lead ptcg::archetype::ethan_s_typhlosion ptcg::archetype::mega_venusaur ptcg::archetype::mega_manectric ptcg::archetype::mega_froslass ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-17,TWM,17,https://limitlesstcg.com/cards/TWM/17,True,True,2,2,Ogerpon Meganium | Festival Lead,2 | 13,Ogerpon Meganium:2 | Festival Lead:3,ptcg::archetype::ogerpon_meganium ptcg::archetype::festival_lead ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-18,TWM,18,https://limitlesstcg.com/cards/TWM/18,True,True,2,2,Ogerpon Meganium | Festival Lead,2 | 13,Ogerpon Meganium:2 | Festival Lead:4,ptcg::archetype::ogerpon_meganium ptcg::archetype::festival_lead ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
TWM-25,TWM,25,https://limitlesstcg.com/cards/TWM/25,True,True,2,5,Ogerpon Meganium | Raging Bolt | Basic Box | Mega Venusaur | Tera Box,2 | 5 | 9 | 30 | 31,Ogerpon Meganium:4 | Raging Bolt:3 | Basic Box:1 | Mega Venusaur:4 | Tera Box:3,ptcg::archetype::ogerpon_meganium ptcg::archetype::raging_bolt ptcg::archetype::basic_box ptcg::archetype::mega_venusaur ptcg::archetype::tera_box ptcg::meta::2026_06::top50 ptcg::meta::2026_06::top10,unresolved_print_locator,,,,
